YEAR,ID,MARITAL,AGE,EDUC,DEGREE,SEX,RACE,RACECEN1,RACECEN2,RACECEN3,COHORT,ZODIAC,DIVORCE,WIDOWED,SIBS,CHILDS,AGEKDBRN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,UNRELAT,HHTYPE1,PRESTG80,SPPRES80,INCOME06,RINCOM06,SATFIN,WRKSTAT,HRS1,WRKSLF,PARTFULL,SPWRKSTA,SPHRS1,DWELOWN,SEI,SPSEI,MASEI,PASEI,HAPMAR,EVSTRAY,DIVLAW,AGED,SPANKING,ABANY,ABDEFCTW,ABDEFECT,ABHLTH,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,MARHOMO,HAPPY,FATALISM,HEALTH,LIFE,LETDIE1,OWNGUN,HUNT,NEWS,TVHOURS,GETAHEAD,RICHWORK,RACDIF1,RACDIF2,RACDIF3,RACDIF4,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,AFFRMACT,WRKWAYUP,WORKWHTS,WORKBLKS,INTLWHTS,INTLBLKS,DISCAFF,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,REBORN,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,HOMOSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,NUMWOMEN,NUMMEN,SEXORNT,FECHLD,FEPRESCH,FEFAM,MEOVRWRK
2008,11,1,62,17,4,1,2,2,0,0,1946,6,0,0,4,2,31,2,0,0,0,2,0,1,69,58,25,18,1,1,45,2,1,1,50,2,73.9,72.5,28.4,27.7,1,1,2,3,2,7,4,7,7,7,7,4,7,0,2,4,0,0,0,7,0,2,3,0,9,1,0,1,0,7,1,2,1,1,1,1,3,3,1,2,1,2,0,0,7,3,8,1,5,4,3,4,4,0,2,3,0,0,0,1,10,1,8,3,1,1,1,1,1,1,1,0,0,2,0,1,5,5,0,3,1,3,3,4
2008,12,5,40,19,4,1,2,2,0,0,1968,3,7,7,8,0,0,1,0,0,0,1,-1,4,59,0,23,23,2,1,40,2,1,0,-1,0,73.3,-1,22.5,36.4,0,7,0,1,0,1,4,1,1,1,1,4,1,3,3,5,2,2,7,0,4,0,-1,2,1,7,7,7,7,1,1,5,1,1,1,1,3,1,2,1,1,1,0,0,1,1,8,0,0,0,0,0,0,3,0,0,0,1,4,4,0,3,0,4,8,6,0,1,7,0,0,2,2,2,1,3,4,20,0,3,0,0,0,0
2008,13,9,62,18,3,2,1,3,1,2,1946,8,9,9,1,1,44,2,0,0,1,1,0,2,66,0,13,0,3,5,-1,2,0,9,99,0,80.3,-1,38.4,29.8,9,9,0,1,0,1,4,1,1,1,1,4,1,1,1,1,2,1,7,0,4,0,-1,2,7,7,7,7,7,0,0,3,1,1,1,1,1,3,1,1,1,1,0,0,1,3,8,0,0,0,0,0,0,8,0,0,0,3,5,1,50,3,2,1,1,8,0,1,7,0,0,2,4,2,0,0,0,0,6,8,0,0,0,0
2008,14,1,71,16,1,1,2,2,3,0,1937,8,1,0,7,4,22,2,0,0,0,2,0,1,60,52,17,0,1,5,-1,2,0,5,-1,0,63.2,69.2,73.2,45.9,1,0,0,2,0,1,4,1,1,1,1,3,1,3,1,4,2,1,7,0,4,0,-1,1,7,7,7,7,7,0,2,4,1,3,2,1,3,3,1,1,1,1,0,0,1,3,1,0,0,0,0,0,0,2,0,0,0,2,2,4,0,3,0,4,1,2,1,1,7,0,0,2,1,2,0,1,3,10,0,3,0,0,0,0
2008,15,5,58,16,3,2,2,2,0,0,1950,5,7,7,2,0,0,1,0,0,0,1,-1,4,33,0,98,0,2,4,-1,2,0,0,-1,0,50.5,-1,-1,50.2,0,7,0,3,0,1,4,1,1,1,1,4,1,4,2,4,3,2,7,0,4,0,-1,1,1,7,7,7,7,1,2,4,1,1,1,1,1,3,2,1,1,1,0,8,1,8,1,0,0,0,0,0,0,3,0,0,0,2,2,1,14,1,5,2,1,2,1,0,7,0,0,1,4,2,1,-1,-1,-1,-1,0,0,0,0,0
2008,16,1,34,18,4,2,3,4,0,0,1974,3,0,0,2,4,27,6,3,1,0,2,0,11,74,28,98,0,3,7,-1,2,0,2,40,2,87,33.2,-1,-1,1,7,8,0,8,0,0,1,1,0,0,0,8,5,2,0,3,3,0,0,4,2,5,1,7,8,1,1,8,1,5,4,1,1,1,1,2,1,1,8,2,2,0,8,1,3,7,8,2,1,5,7,4,3,8,4,0,0,0,9,0,9,0,9,1,1,0,1,1,1,1,1,1,0,7,-1,-1,-1,-1,0,2,1,1,2
2008,17,5,26,15,1,1,1,1,0,0,1982,10,7,7,3,0,0,2,0,0,0,2,0,3,38,0,21,17,2,1,55,2,1,0,-1,2,54.5,-1,-1,84.7,0,7,3,0,2,0,0,1,1,0,1,0,1,5,2,0,1,2,1,0,4,1,0,1,1,0,0,0,1,0,3,5,1,1,8,1,3,2,8,1,8,8,0,1,1,2,7,3,2,3,4,5,2,2,2,2,0,0,0,9,0,9,5,9,1,3,0,0,1,2,3,1,1,0,7,4,3,2,0,3,1,2,1,2
2008,18,1,33,13,1,2,1,1,0,0,1975,10,0,0,8,4,20,6,1,3,0,2,0,11,51,74,20,0,2,7,-1,2,0,1,40,1,63.5,83.7,80.3,76.3,1,0,3,1,3,7,1,7,7,7,7,1,7,0,1,4,0,0,0,7,0,4,0,0,7,0,1,1,1,7,6,6,2,2,2,1,1,3,3,1,3,3,0,1,7,2,1,4,2,4,9,9,9,0,3,3,0,0,0,3,0,3,3,1,1,2,0,1,9,8,8,0,0,1,8,1,5,0,1,3,4,1,1,2
2008,19,5,36,16,3,1,1,1,0,0,1972,4,7,7,0,0,0,1,0,0,0,1,-1,4,53,0,25,25,1,1,20,1,1,0,-1,0,81,-1,63.5,63.5,0,7,0,2,0,1,4,1,1,8,1,4,1,2,2,5,1,1,7,0,4,0,-1,1,1,7,7,7,7,0,3,1,1,1,1,1,3,3,3,1,1,1,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,4,1,2,0,2,1,3,1,2,0,1,7,0,0,1,4,2,1,2,5,10,0,9,0,0,0,0
2008,20,1,37,14,2,1,3,5,0,0,1971,99,1,0,2,2,30,4,2,0,0,2,0,11,42,42,19,15,3,2,40,2,1,2,30,2,54.2,54.2,25.5,27.5,2,0,1,0,2,1,0,1,1,1,0,0,0,2,3,0,2,8,1,0,4,3,2,1,1,0,0,0,1,1,3,3,1,2,1,1,3,3,1,1,2,2,0,0,1,2,7,4,2,4,4,6,5,2,8,2,0,0,0,4,0,3,2,4,1,6,0,0,1,4,4,3,4,0,7,1,5,1,0,3,2,2,2,2
2008,21,1,52,12,1,1,1,1,0,0,1956,4,0,0,4,3,21,2,0,0,0,2,0,1,51,64,25,0,1,5,-1,2,0,3,-1,0,63.5,78.5,-1,33.1,1,7,0,1,0,1,4,1,1,1,1,4,1,1,1,2,3,1,7,0,4,0,-1,2,7,7,7,7,7,0,4,4,2,2,1,1,1,3,3,1,1,3,0,1,1,2,1,0,0,0,0,0,0,8,0,0,0,2,4,2,0,2,0,3,1,2,0,0,7,0,0,1,1,2,0,-1,-1,-1,-1,0,0,0,0,0
2008,22,3,61,12,0,2,1,1,0,0,1947,3,7,0,12,3,20,3,0,1,0,2,0,13,42,0,18,16,2,1,35,2,2,0,-1,0,36.1,-1,27.7,27.2,0,0,0,1,0,8,4,1,1,0,0,2,1,2,2,4,3,2,7,0,4,0,-1,1,0,7,7,7,7,1,1,6,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,2,0,0,0,4,2,2,0,2,3,2,1,2,8,0,7,0,0,1,8,1,0,0,0,0,10,3,0,0,0,0
2008,23,1,63,12,1,2,1,1,0,0,1945,8,0,0,3,2,20,2,0,0,0,2,0,1,17,30,20,0,2,7,-1,2,0,1,40,0,29,31.5,-1,49.6,1,0,0,1,0,0,4,1,1,0,0,4,1,2,2,1,4,2,7,0,4,0,-1,1,7,7,7,7,7,1,5,4,0,0,0,0,0,0,0,1,2,2,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,2,5,2,0,2,3,2,1,2,0,0,7,0,0,1,3,2,0,1,1,0,1,3,0,0,0,0
2008,24,1,74,13,1,2,1,1,0,0,1934,5,0,0,4,2,23,4,1,0,0,3,0,11,65,40,98,0,2,5,-1,2,0,5,-1,1,76.4,45.8,-1,40.9,2,9,1,0,2,0,0,1,1,0,0,0,8,8,2,0,2,1,7,0,4,1,4,1,7,0,0,0,1,1,6,6,0,0,0,0,0,0,0,1,1,2,1,0,1,3,7,4,1,2,4,6,4,2,0,0,2,0,0,2,0,2,7,3,1,2,0,0,0,1,1,1,1,0,7,1,9,999,999,9,1,3,3,2
2008,25,2,70,13,1,2,1,1,0,0,1938,8,0,7,5,3,22,1,0,0,0,1,-1,4,0,0,98,0,3,7,-1,0,0,0,-1,0,-1,-1,-1,38.2,0,7,0,2,0,0,4,0,1,0,0,1,0,2,2,4,1,1,7,0,4,0,-1,1,7,7,7,7,7,0,0,6,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,2,0,0,0,2,1,2,0,2,0,2,8,4,0,1,7,0,0,2,8,1,0,-1,-1,-1,-1,0,0,0,0,0
2008,26,1,38,12,1,2,1,1,0,0,1970,11,0,0,4,2,35,4,2,0,0,2,0,11,45,60,98,0,2,7,-1,2,0,1,56,0,39.6,63.2,38.4,44.7,1,7,0,1,0,0,4,1,1,0,0,1,1,2,1,4,2,1,7,1,4,0,-1,1,7,7,7,7,7,0,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,7,1,1,2,0,1,7,0,0,1,4,2,0,-1,-1,-1,-1,0,0,0,0,0
2008,27,4,32,14,1,1,2,2,0,0,1976,6,7,0,3,2,25,2,0,0,0,2,0,3,22,0,17,17,2,1,40,2,1,0,-1,0,28.4,-1,22.5,-1,0,0,0,1,0,0,1,0,1,0,0,1,8,3,2,4,1,1,7,0,4,0,-1,1,1,7,7,7,7,1,1,4,0,0,0,0,0,0,0,1,1,3,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,3,8,11,70,2,5,9,1,3,0,0,7,0,0,2,8,2,0,1,5,10,0,3,0,0,0,0
2008,28,5,42,18,4,1,3,4,0,0,1966,11,7,7,2,0,0,2,0,0,0,2,1,5,65,0,25,25,1,1,50,2,1,0,-1,1,76.4,-1,-1,-1,0,7,3,1,3,7,4,7,7,7,7,2,7,0,2,5,0,0,7,7,0,2,3,0,9,1,0,0,0,7,2,3,0,0,0,0,0,0,0,3,2,1,1,0,7,3,0,3,2,4,5,4,4,0,0,0,2,2,2,7,0,9,2,9,1,4,0,0,1,4,1,0,0,2,1,1,4,1,0,3,2,2,4,3
2008,29,4,41,14,2,1,2,2,4,0,1967,12,7,0,6,5,23,1,0,0,0,1,-1,4,51,0,19,19,3,1,80,2,1,0,-1,0,63.5,-1,28.6,28.4,0,1,0,1,0,1,4,1,1,1,1,4,1,3,2,4,2,1,7,0,4,0,-1,1,1,7,7,7,7,0,0,4,0,0,0,0,0,0,0,2,1,3,1,1,0,3,1,0,0,0,0,0,0,3,0,0,0,2,3,9,0,9,5,9,1,1,0,1,7,0,0,2,2,2,1,2,5,46,0,3,0,0,0,0
2008,30,5,45,18,4,1,1,1,0,0,1963,2,7,7,1,0,0,1,0,0,0,1,-1,4,86,0,21,21,1,1,3,1,1,0,-1,1,97.2,-1,38.4,86.7,0,7,2,0,2,0,0,1,1,0,0,0,8,1,1,0,1,1,7,0,4,4,1,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,8,8,1,8,1,3,7,4,4,4,4,4,4,3,0,0,2,0,0,3,0,3,3,2,1,5,0,0,1,4,2,3,4,0,7,9,3,5,998,1,1,3,3,2
2008,31,5,78,18,4,2,1,1,0,0,1930,7,7,7,1,0,0,1,0,0,0,1,-1,4,75,0,21,98,2,5,-1,2,2,0,-1,1,92.3,-1,-1,33.9,0,7,1,3,9,7,4,7,7,7,7,4,7,0,9,4,0,0,7,7,0,1,2,0,7,1,0,1,0,7,0,2,0,0,0,0,0,0,0,2,1,1,1,0,7,8,8,9,4,4,4,9,9,0,0,0,2,1,2,3,0,3,0,9,0,6,0,0,1,4,3,0,0,2,8,-1,-1,-1,-1,0,2,3,3,4
2008,32,1,54,12,1,2,3,16,0,0,1954,4,0,0,11,2,25,3,0,0,1,2,0,11,29,35,98,98,1,1,40,2,1,1,40,1,30.8,37.9,-1,44.7,2,0,2,0,4,0,0,0,0,0,0,0,0,4,2,0,2,1,7,0,4,1,2,1,0,1,1,0,1,1,1,4,0,0,0,0,0,0,0,2,1,3,3,0,1,2,7,2,4,4,3,4,4,2,0,0,3,0,0,2,0,2,7,1,1,2,0,1,1,4,1,1,3,0,7,1,9,0,1,3,3,3,2,2
2008,33,4,49,10,0,1,3,16,0,0,1959,8,7,0,7,2,25,3,1,0,0,2,0,13,42,0,98,98,2,1,40,2,1,0,-1,2,32.3,-1,-1,37.3,0,0,3,0,2,8,0,0,8,0,0,0,0,3,2,0,3,2,0,0,4,2,3,2,0,0,0,1,1,0,3,8,8,8,1,2,1,1,1,2,3,2,0,1,1,2,7,4,2,4,4,4,4,3,3,2,0,0,0,2,0,2,3,3,8,3,0,0,8,8,2,3,8,0,7,0,9,998,0,3,3,3,2,1
